n_pressed,held,line_A,line_B,line_C,adc_A,adc_B,adc_C,n_masked,masked,fully_observable
3,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  RESUME,CRUISE  −  SMALL,CRUISE  RESUME,idle,133,217,682,1,CRUISE  +  SMALL,no
3,CRUISE  −  SMALL + CRUISE  +  SMALL + FOLLOW DIST  −,CRUISE  −  SMALL,FOLLOW DIST  −,idle,133,350,682,1,CRUISE  +  SMALL,no
3,CRUISE  −  SMALL + CRUISE  +  SMALL + DOWNHILL  CANCEL,CRUISE  −  SMALL,idle,DOWNHILL  CANCEL,133,682,58,1,CRUISE  +  SMALL,no
3,CRUISE  −  SMALL + CRUISE  +  SMALL + DOWNHILL  −,CRUISE  −  SMALL,idle,DOWNHILL  −,133,682,133,1,CRUISE  +  SMALL,no
3,CRUISE  −  SMALL + CRUISE  +  SMALL + DOWNHILL  RESUME,CRUISE  −  SMALL,idle,DOWNHILL  RESUME,133,682,217,1,CRUISE  +  SMALL,no
3,CRUISE  −  SMALL + CRUISE  +  SMALL + DOWNHILL  +,CRUISE  −  SMALL,idle,DOWNHILL  +,133,682,350,1,CRUISE  +  SMALL,no
3,CRUISE  −  SMALL + CRUISE  CANCEL + FOLLOW DIST  +,CRUISE  −  SMALL,CRUISE  CANCEL,idle,133,58,682,1,FOLLOW DIST  +,no
3,CRUISE  −  SMALL + CRUISE  CANCEL + CRUISE  RESUME,CRUISE  −  SMALL,CRUISE  CANCEL,idle,133,58,682,1,CRUISE  RESUME,no
3,CRUISE  −  SMALL + CRUISE  CANCEL + FOLLOW DIST  −,CRUISE  −  SMALL,CRUISE  CANCEL,idle,133,58,682,1,FOLLOW DIST  −,no
3,CRUISE  −  SMALL + CRUISE  CANCEL + DOWNHILL  CANCEL,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  CANCEL,133,58,58,0,,yes
3,CRUISE  −  SMALL + CRUISE  CANCEL + DOWNHILL  −,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  −,133,58,133,0,,yes
3,CRUISE  −  SMALL + CRUISE  CANCEL + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  RESUME,133,58,217,0,,yes
3,CRUISE  −  SMALL + CRUISE  CANCEL + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  +,133,58,350,0,,yes
3,CRUISE  −  SMALL + FOLLOW DIST  + + CRUISE  RESUME,CRUISE  −  SMALL,FOLLOW DIST  +,idle,133,133,682,1,CRUISE  RESUME,no
